name,line,lat,lng
서울역,1호선·4호선,37.55315,126.972533
시청역,1호선·2호선,37.56359,126.975407
종각역,1호선,37.570203,126.983116
종로3가역,1호선·3호선·5호선,37.570429,126.992095
종로5가역,1호선,37.570971,127.0019
동대문역,1호선·4호선,37.57179,127.011383
동묘앞역,1호선·6호선,37.573265,127.016459
신설동역,1호선·2호선,37.576117,127.02471
제기동역,1호선,37.578116,127.034902
청량리역,1호선,37.580148,127.045063
을지로입구역,2호선,37.565998,126.982569
을지로3가역,2호선·3호선,37.566292,126.991773
을지로4가역,2호선·5호선,37.566611,126.998122
동대문역사문화공원역,2호선·4호선·5호선,37.565597,127.009113
신당역,2호선·6호선,37.565681,127.019488
상왕십리역,2호선,37.564504,127.028872
왕십리역,2호선·5호선,37.561159,127.035505
한양대역,2호선,37.55658,127.043504
뚝섬역,2호선,37.54718,127.047413
성수역,2호선,37.544628,127.055983
건대입구역,2호선·7호선,37.540408,127.069231
구의역,2호선,37.536857,127.085024
강변역,2호선,37.535161,127.094684
잠실나루역,2호선,37.520688,127.103836
잠실역,2호선·8호선,37.513305,127.100129
잠실새내역,2호선,37.520731,127.103738
종합운동장역,2호선·9호선,37.511008,127.073641
삼성역,2호선,37.508827,127.063203
선릉역,2호선,37.504257,127.048174
역삼역,2호선,37.500658,127.03643
강남역,2호선,37.497958,127.027539
교대역,2호선·3호선,37.493957,127.014631
서초역,2호선,37.49191,127.007945
방배역,2호선,37.481469,126.997627
사당역,2호선·4호선,37.476536,126.981631
낙성대역,2호선,37.47693,126.963783
서울대입구역,2호선,37.481233,126.952745
봉천역,2호선,37.482416,126.941896
신림역,2호선,37.484216,126.929573
신대방역,2호선,37.487534,126.913279
구로디지털단지역,2호선,37.485005,126.902626
대림역,2호선·7호선,37.492426,126.895293
신도림역,2호선,37.508815,126.891222
문래역,2호선,37.517993,126.894766
영등포구청역,2호선·5호선,37.525766,126.896627
당산역,2호선,37.533877,126.902011
합정역,2호선·6호선,37.550025,126.914557
홍대입구역,2호선,37.556748,126.923643
신촌역,2호선,37.555153,126.93689
이대역,2호선,37.556734,126.945897
아현역,2호선,37.557407,126.956079
충정로역,2호선·5호선,37.559742,126.964455
용두역,2호선,37.574012,127.03811
신답역,2호선,37.56147,127.056348
용답역,2호선,37.566412,126.977863
도림천역,2호선,37.514759,126.882586
양천구청역,2호선,37.512194,126.865193
신정네거리역,2호선,37.520218,126.852849
까치산역,2호선·5호선,37.53181,126.846706
지축역,3호선,37.648281,126.912551
구파발역,3호선,37.636612,126.918827
연신내역,3호선·6호선,37.618855,126.920859
불광역,3호선·6호선,37.610554,126.929843
녹번역,3호선,37.600882,126.935758
홍제역,3호선,37.588851,126.944092
무악재역,3호선,37.582658,126.950131
독립문역,3호선,37.574534,126.957902
경복궁역,3호선,37.575844,126.973576
안국역,3호선,37.576562,126.98547
충무로역,3호선·4호선,37.561302,126.995473
동대입구역,3호선,37.55816,127.005273
약수역,3호선·6호선,37.554674,127.010628
금호역,3호선,37.548269,127.015785
옥수역,3호선,37.541653,127.017303
압구정역,3호선,37.526169,127.028502
신사역,3호선,37.516438,127.020247
잠원역,3호선,37.512989,127.011613
고속터미널역,3호선·7호선,37.504953,127.004916
남부터미널역,3호선,37.48494,127.016289
양재역,3호선,37.48466,127.03513
매봉역,3호선,37.487114,127.046907
도곡역,3호선,37.491129,127.055694
대치역,3호선,37.494601,127.063449
학여울역,3호선,37.496757,127.070541
대청역,3호선,37.493607,127.079526
일원역,3호선,37.48389,127.08416
수서역,3호선,37.487507,127.101324
가락시장역,3호선·8호선,37.492368,127.118101
경찰병원역,3호선,37.495754,127.124198
오금역,3호선·5호선,37.502288,127.128344
당고개역,4호선,37.66956,127.078404
상계역,4호선,37.660576,127.073199
노원역,4호선·7호선,37.656274,127.063183
창동역,4호선,37.652993,127.046746
쌍문역,4호선,37.648274,127.034381
수유역,4호선,37.637127,127.024731
미아역,4호선,37.626435,127.026151
미아사거리역,4호선,37.613276,127.030083
길음역,4호선,37.604087,127.025353
성신여대입구역,4호선,37.592782,127.017338
한성대입구역,4호선,37.58838,127.006751
혜화역,4호선,37.582116,127.001759
명동역,4호선,37.561055,126.988271
회현역,4호선,37.559698,126.979565
숙대입구역,4호선,37.545124,126.971952
삼각지역,4호선·6호선,37.535057,126.973354
신용산역,4호선,37.52919,126.96858
이촌역,4호선,37.522525,126.97335
동작역,4호선,37.503567,126.980171
총신대입구역,4호선·7호선,37.487521,126.982309
남태령역,4호선,37.464339,126.989081
방화역,5호선,37.577669,126.812822
개화산역,5호선,37.572458,126.806838
김포공항역,5호선,37.56217,126.801273
송정역,5호선,37.561411,126.812052
마곡역,5호선,37.562182,126.82693
발산역,5호선,37.562182,126.82693
우장산역,5호선,37.548864,126.83633
화곡역,5호선,37.541585,126.840436
신정역,5호선,37.525001,126.856176
목동역,5호선,37.526088,126.864296
오목교역,5호선,37.524557,126.875049
양평역,5호선,37.525614,126.886177
영등포시장역,5호선,37.52276,126.905143
신길역,5호선,37.51763,126.914886
여의도역,5호선,37.521578,126.924318
여의나루역,5호선,37.527145,126.932807
마포역,5호선,37.539718,126.946043
공덕역,5호선·6호선,37.544005,126.951058
애오개역,5호선,37.553592,126.956733
서대문역,5호선,37.565812,126.966639
광화문역,5호선,37.570545,126.976568
청구역,5호선·6호선,37.560237,127.01379
신금호역,5호선,37.554504,127.020403
행당역,5호선,37.557297,127.029482
마장역,5호선,37.566066,127.042921
답십리역,5호선,37.566833,127.05266
장한평역,5호선,37.561438,127.064601
군자역,5호선·7호선,37.557102,127.079559
아차산역,5호선,37.552005,127.089609
광나루역,5호선,37.545301,127.103478
천호역,5호선·8호선,37.538566,127.123539
강동역,5호선,37.53581,127.13249
길동역,5호선,37.538022,127.140085
굽은다리역,5호선,37.545442,127.142844
명일역,5호선,37.551317,127.144002
고덕역,5호선,37.555002,127.154214
상일동역,5호선,37.556714,127.166381
둔촌동역,5호선,37.527787,127.136219
올림픽공원역,5호선·9호선,37.516217,127.130957
방이역,5호선,37.508752,127.126054
개롱역,5호선,37.498097,127.134817
거여역,5호선,37.493208,127.143983
마천역,5호선,37.494972,127.152784
강일역,5호선,37.557521,127.176018
미사역,5호선,37.56329,127.192954
하남풍산역,5호선,37.552201,127.203897
하남시청역,5호선,37.541723,127.206901
하남검단산역,5호선,37.539729,127.223427
응암역,6호선,37.59859,126.915583
역촌역,6호선,37.60605,126.922764
